primaryTitle,startYear,critic_rating,critic_review
The Big Parade,1925,100,"                      A war picture so powerful, so well-balanced, so true to reality, or so lacking in exaggeration as The Big Parade... has not previously been shown in Auckland.                  "
Body and Soul,1925,86,"                      ""Body and Soul"" is not a small cinematic gem; it is a magnificent diamond.                   "
Master of the House,1925,100,"                      Dreyer's small-scale comedy, with its meticulous depiction of the thousand little chores of domestic order and occasional flashes of visual brilliance and startling symbolism, is nothing less than a child's muted cry of rage against the eternal elders.                  "
The Freshman,1925,94,"                      The predicaments aren’t too severe, depicted in a cartoonish manner, allowing for worthwhile skits with a dizzy tailor, a small baby, and an important dance - each providing mirth but failing to land major laughs.                  "
Graustark,1925,82,"                      Graustark is an old story, such as might be lifted from any of the better-class musical comedies, all newly furbished up with artistic direction and strong acting, so that one follows it with Interest, if not with enthusiasm.                  "
The Lady,1925,83,"                      A well-knit, fascinating drama.                  "
The Merry Widow,1925,100,                      This picture proves that Von Stroheim can direct also to the taste of the general public. The discriminating will find portions of it as gratifying to the palate as caviare and crusty old wine. The pee-pul will like it for a good show.                  
Aloma of the South Seas,1926,67,"                      To report candidly, this ""idyl of the South Seas"" falls considerably below greatness.                  "
Ben Hur A Tale of the Christ,1925,96,"                      Ramon Novarro, who plays the part of Ben-Hur, is a sturdy, handsome young chap, with an excellent figure. His performance is all that one could wish, for he is fervent and earnest throughout.                  "
Tartuffe,1925,88,"                      Tartuffe, thanks mainly to Emil Jannings' splendid performance, is a film to merit your considerate attention.                  "
What Price Glory,1926,100,"                      It rises above the appeals of patriotism, sentiment, humor, and romance -- although it has all those things -- to shake the whole emotional structure of spectators with an epic portrait of two fascinating and violent men.                  "
Berlin Symphony of a Great City,1927,86,"                      This is pure cinema, a work of visual rapture that often feels like stepping into a time machine, inviting us into a world long since past.                  "
Camille,1926,40,"                      Mr. Niblo has concentrated on the scenes as he visualized them rather than on the nature of the characters. He has sacrificed his story for lengthy close-ups, and other interruptions. You obtain little conception of the character of Camille.                  "
The Shepherd of the Hills,1928,63,"                      The types from the Shepherd of Alec Francis to the Sammy Lane of Molly O'Day are played sincerely, yet the total result is somewhat slow.                  "
The Cameraman,1928,100,                      ...registers as a strung-together package of exceedingly clever Keaton shorts.                  
Gentlemen Prefer Blondes,1928,80,"                      It manages to miss the main point of Anita Loos's original manuscript, and if you ask me what that point is, I shall have to break down and confess that I don't just know.                  "
The Man Who Laughs,1928,100,"                      Leni edify the gothic melodrama with a somber aesthetic that elevates each fragment of the frame through which Conrad Veidt walks to laugh and that demonstrates, above all, his expertise as a craftsman of German expressionism. [Full review in Spanish]                  "
My Man,1928,86,"                      It is all, however, singularly low-brow, relieved by Miss Brice's own melodies and recitations.                  "
The Racket,1928,100,"                      Mr. Meighan, who has recently been counted out as a popular star, gives what is easily the best performance of his career.                  "
Tenderloin,1928,25,"                      Talking movies won't be an accomplished fact until there is some assurance that the movies know what to say. In the meantime, little films should be seen and not heard.                  "
The Way of All Flesh,1927,88,"                      Jannings is incomparably the greatest of all screen actors, unless it be that the aforesaid Charles Spencer Chaplin can tie him.                  "
Arsenal,1929,83,"                      The picture as a whole is an amazing performance, no less rich in its technical resourcefulness than in its dramatic sense of human character; and it is splendidly acted.                  "
The Great Gabbo,1929,71,"                      James Cruze is efficient in his direction of The Great Gabbo, which is no small feat considering the difficulties of shooting with the early sound cameras.                  "
Hallelujah,1929,86,"                      Great cinematographic events like Hallelujah are thus always the fruit of great sociological events. Indeed, this film is an eternal testament that transcends both its author-director and the history of cinema itself.                  "
Spite Marriage,1929,100,                      There's still enough inspired joy in this old film to make most current comedies look feebly unoriginal.                  
Thunderbolt,1929,70,                      Thunderbolt was Josef von Sternberg's first talkie (a silent version was also produced) and nabbed George Bancroft his only Best Actor Oscar nomination.                  
The Big House,1930,75,"                      Dialogue cannot carry the mood, the film as a whole is the vehicle. The accusations therefore remain incidents -- passing and unemphatic. Whatever suggestion of social guilt they contain is dissipated by the events of the story, and their treatment.                  "
The Blue Angel,1930,96,                      The Blue Angel launched a legendary collaboration between Josef von Sternberg and Marlene Dietrich in Hollywood.                  
The Divorcee,1930,75,"                      A movie about, essentially, the perils of revenge sex (for women, at least).                  "
Kismet,1930,85,"                      The dialogue is competently handled, so that, while the spectacular episodes are eye-filling, the story always holds one's attention. There are huge settings of the palace and the dungeons, the size of which enhances the value of the action.                  "
Little Caesar,1931,92,                      The cast is well chosen for a movie of the class.  [Full review in Spanish]                   
Westfront 1918,1930,100,"                      When the history of the cinema comes to be written, it is probable that Westfront 1918, directed by Pabst, will occupy the same position with regard to the sound film that Potemkin occupies in relationship to the silent picture.                  "
Daughter of the Dragon,1931,71,"                      For those who are attuned to this type of spectacle, this will be very entertaining. [Full review in Spanish]                  "
Huckleberry Finn,1931,83,"                      It is an offering which will be heartily welcomed, in spite of changes due to the demands of the screen, by all admirers of the great [Mark Twain].                  "
Comradeship,1931,90,"                      The scenes of the catastrophe and rescue which take up two thirds of the action, are full of the most complicated, subtle and effective shots ever made in a German studio.                  "
Private Lives,1931,80,"                      An early talkie attempt at glittering theatrical sophistication-and, somehow, in its own terms, it works.                  "
Safe in Hell,1931,100,                      Safe in Hell is a splendid picture!                  
The Crowd Roars,1932,83,                      ...a comfortably familiar premise that's employed to mostly watchable (if rather forgettable) effect by Hawks.                  
Ecstasy,1933,54,"                      Experimentally it was a dud. It was a bad motion picture --slow, poorly played, pretentiously arty and uncommonly dull, for all of the hullabaloo it caused.                  "
Freaks,1932,95,"                      While Freaks might not be perfect, its respect and empathy for such a marginalized group so early on is absolutely worth noting.                  "
I Am a Fugitive from a Chain Gang,1932,96,                      Its material of social denouncement about the injustices of the penal system is powerful and moving to me due to the caliber performance of Paul Muni. [Full review in Spanish]                  
Rasputin and the Empress,1932,50,"                      This sort of historical perversion, in the films and elsewhere, is not new; and the only point worth noting about the present instance is that the artistic result hardly seems worth the assassination of fact.                  "
Tarzan the Ape Man,1932,100,"                      Sticking to one of the primary themes of Burroughs’ series, it’s eventually evident that man is more barbarous and cruel than the untamed beasts merely surviving in the wild.                  "
Baby Face,1933,100,                      Stanwyck's Lily flips gender and power dynamics on their heads.                  
Dancing Lady,1933,80,                      Elaborate screen revue in which Joan Crawford re-establishes herself as America's dancing daughter.                  
Footlight Parade,1933,100,                      The film will have interest for admirers of James Cagney. He surprisingly reveals gifts as a singer and tap-dancer.                  
42nd Street,1933,96,"                      It's the cast, the banter and the backstage at-a-musical-revue-in-rehearsal milieu that keep this picture fresh.                  "
Gold Diggers of 1933,1933,100,"                      Capture(s) Hollywood decadence combined with Depression-era resentment of the elites and mistrust of the Washington establishment with grand, dreamlike relish.                  "
King Kong,1933,96,"                      King Kong is one of the most original, thrilling and mammoth novelties to emerge from a movie studio. A great show! But don't take nervous children to see it.                  "
Little Women,1933,89,"                      [Little Women is] improved by its superbly beautiful screen translation, because the rich character and depth possessed by the story have been freed from the somewhat saccharine sentimentality which overlaid them in the book.                  "
Queen Christina,1933,83,"                      Beyond the ridiculousness of certain situations, of their primitive and naïve character... the film does radiate lost nobility and elegance, a simplicity that can suddenly and naturally achieve greatness.                  "
The Story of Temple Drake,1933,86,"                      The film, directed by Stephen Roberts, is a progressive provocation riding solely on its considerable shock value as well as a signature role for actress Miriam Hopkins.                  "
Anne of Green Gables,1934,83,                      Casting generally has met with the happiest success.                  
March of the Wooden Soldiers,1934,100,"                      It's a combination of Victor Herbert, scrambled Mother Goose, scrambled Laurel and Hardy, and toy nightmare - the sort of thing an imaginative child might dream, falling asleep after too many Christmas excitements and indigestibles.                  "
The Man Who Knew Too Much,1934,89,"                      The acting is for the most part simple and straightforward, but there is real subtlety in the performance of Peter Lorre, the Dusseldorf murderer of M, as the anarchist leader.                  "
Maniac,1934,89,"                      A truly wretched film that I enjoyed, partly because of and partly in spite of its excessive excrescence.                  "
The Merry Widow,1934,82,"                      A perfect realization of a director's dream. And when the director is Ernst Lubitsch, the picture rates very high...                  "
Nana,1934,71,"                      The picture is stodgy, pretentious, and utterly without the Zola verve. One can't quite decide about Anna. Maybe it was the wrong picture, or maybe she really can't act.                  "
The Thin Man,1934,98,                      The Thin Man remains an unparalleled mixture of laughs and suspense that many have imitated but none have equaled.                  
White Heat,1934,40,"                      There are many spots where the film looks like the Infant talkies back in 1929, and the acting is generally amateurish. Despite its crudity, movie fans on Kauai will : undoubtedly want to see it.                  "
Alice Adams,1935,94,"                      This all attempts to be folksy comedy, but very often falls into savage satire.                  "
Anna Karenina,1935,93,"                      With such a brief running time, it's difficult to create a convincing union - both during the moments of bliss and quarreling, which are equally rushed.                  "
Bordertown,1935,100,"                      [Muni's] performance, on the whole, is a typical Muni performance -- being vigorous, simple, unaffected and believable. He is one of those rare actors whose talents don't seem to be thrown pell-mell into the very teeth of the camera.                  "
Broadway Melody of 1936,1935,89,"                      The whole of Melody is deft, and some of the specialties, such as Dr. Wildhack's snoring numbers, are tops.                  "
Captain Blood,1935,100,"                      It reminds us why Warner Bros. was the studio for action, why Errol Flynn became their greatest action star, and why De Havilland was so respected.                  "
China Seas,1935,80,"                      China Seas is as stirring a melodrama as you are likely to come across during the current movie season, one violent climax leading into another and frequently overlapping it.                  "
David Copperfield,1935,100,                      It is the quality of the characterisation almost as much as the carefully elaborated period detail which recreates the spirit of coaching England as Dickens embalmed it in the novel. One can almost smell the aroma of harness and cold mutton.                  
Escape Me Never,1935,100,"                      The camera does its work of photographing Bergner smoothly, sensitively and unobtrusively and Paul Czinner in his direction reveals that mastery over mood which made Der Traumende Mund memorable.                  "
The Informer,1935,94,"                      I consider it too memorable not to provoke a discussion and not to deserve a reproach. Several reproaches, really, since it has run the beautiful risk of being entirely satisfactory and, for two or three reasons, has not been.                  "
Peter Ibbetson,1935,80,                      The film is floridly romantic in a way that might invite snickers if it weren’t so downright weird and if the players in front of and behind the camera weren’t absolutely on their game.                  
After the Thin Man,1936,100,"                      While sequels generally disappoint, After the Thin Man demonstrates its predecessor's nimble juggling act between comedy and murder mystery, once again finding that rare balance between suspense and laughs.                  "
Anything Goes,1936,83,"                      Taken item by item, here is the material for a smashing musical. Taken in the mass, the film lacks that final voltage which jerks pleasant entertainment into the records class.                  "
The Lower Depths,1936,89,"                      ...beautifully acted by all, and very well directed by Jean Renoir. Just misses permanency.                  "
Black Legion,1937,100,"                      Much like Confessions of a Nazi Spy would do two years later by directly addressing Nazism in America, Black Legion explores the idea that it can happen here.                   "
Charlie Chan at the Opera,1936,60,                      An entertaining movie that doesn't lack sense of humor. [Full Review in Spanish]                  
Desire,1936,100,                      a dazzling romantic drama bolstered by its two magnetic leads.                  
The Devil Doll,1936,79,                      ...The Devil-Doll is as sprightly as a convict granny with a basket full of stiletto wielding dolls; ie very sprightly indeed...                  
Go West Young Man,1936,60,"                      For anyone wanting a Mae West primer, you can't go wrong with including ""Go West Young Man,"" an incisive and rather keen satire on both Hollywood and the working class.                  "
Love on the Run,1936,80,"                      The elements are all familiar, not to say hokum, but the charm of Love on the Run is the speed and ingenuity with which they have been fitted into a brand-new pattern.                  "
My Man Godfrey,1936,97,                      This scintillating comedy was the first film to be Oscar-nominated in all four acting categories.                  
The Petrified Forest,1936,100,"                      Once the allegorical motive is dismissed or relegated to a secondary level... the plot of The Petrified Forest seems admirable to me. In this film, death works like hypnosis or alcohol: it brings the recesses of the soul into the light of day.                  "
The Plainsman,1936,100,"                      Sometimes painfully anachronistic, this Western starring Gary Cooper as Wild Bill Hickok still boats plenty of Old Hollywood action and glamor.                  "
Rose Marie,1936,83,"                      Rose Marie is handsome, tuneful, romantic and lively. If you want lavish entertainment, here it is.                  "
Tarzan Escapes,1936,71,                      An above average film.                  
Reefer Madness,1936,39,"                      Before it became an ironic cult hit in the 1970s, Reefer Madness was a well-intentioned and unintentionally hilarious cautionary tale entitled Tell Your Children...                  "
Captains Courageous,1937,94,"                      Spencer Tracy delivers a superb performance as the reluctant but unquestionably inspiring father figure, brimming with ideal values, morals, work ethics, and courage.                  "
Dead End,1937,91,                      The cast is perfect; Allen Jenkins surprisingly strong as Humphrey Bogart's shadow.                  
Kid Galahad,1937,100,"                      Curtiz directs it with the pulse of a punch that rarely loses its melodramatic effect with the performances of the cast and a tough plot about jealousy, betrayal and boxing corruption. Full review in Spanish                  "
The Prince and the Pauper,1937,67,"                      The kids are surrounded with a terrific cast, including Claude Rains, Errol Flynn, Barton MacLane...                  "
Quality Street,1937,67,                      Quaint and coquettish.                  
Shall We Dance,1937,89,                      The best and freshest Astaire-Rogers film in a long time.                  
Something to Sing About,1937,83,                      Cagney still Cagney in a song-anddance picture of backstage Hollywood. Better not do this often.                  
The Adventures of Robin Hood,1938,100,                      Yet see beyond the tights and the (glorious) Technicolor and this is still a supremely entertaining adventure with some sword fights that rival any fight sequence...                  
Boys Town,1938,90,"                      It's a genuine human story, dramatically handled and finely acted.                  "
Bringing Up Baby,1938,94,"                      Katherine Hepburn reals herself as a notable comedian, helped masterfully by Cary Grant. [Full review in Spanish]                   "
A Christmas Carol,1938,100,                      [A] typically polished MGM version of Charles Dickens's yuletide favourite.                  
Three Comrades,1938,100,"                      Three Comrades is finely written, produced and acted, but is so filled with desolation and the shadow of impoverishment and death, that movie-goers may find it rather bitter fare as entertainment.                  "
Babes in Arms,1939,90,                      A first rate musical comedy.  [Full review in Spanish]                   
Bachelor Mother,1939,100,"                      ""a sweet story... part workplace comedy, part family story, part romance, part holiday story... the actors all have winning performances... they are all on their A game.""                  "
Dark Victory,1939,88,"                      The themes tend to be more powerful than the individual events, as tinier episodes populate a tale in need of more significant happenings.                  "
Double Deal,1939,100,"                      Directed by Arthur Dreifuss from a screenplay by Arthur Hoerl, the picture is professional in every respect, more so than many a mine-run melodrama turned out by more widely known Hollywood studios.                  "
Gaslight,1940,100,"                      The first, British version of Patrick Hamilton's popular play, is extremely well acted by Diana Wynyard and Anton Walbrook, but Cukor's MGM version, with Osar-winning Ingrid Bergman, is superior.                  "
Gone with the Wind,1939,90,"                      It remains the most seen film in cinema history, not only because Selznick produced a monumental motion picture of immaculate quality, but because he knew how to sell it as an event.                  "
Gunga Din,1939,92,"                      Cary Grant, it seems, is becoming one of the screen's subtlest comedians and, perhaps, a brilliant actor.                  "
Island of Lost Men,1939,60,                      The story is not particularly novel; but it holds one's interest fairly well.                  
King of Chinatown,1939,20,"                      It is just another gangster melodrama, lacking the excitement one expects in pictures of this type. It starts out pretty well, but as it develops it loses its fast pace.                  "
Love Affair,1939,91,"                      It’s a handsome, humorously inclined tragedy which plays like the blithe counterpart to something like David Lean’s Brief Encounter.                  "
Ninotchka,1939,97,"                      Has there ever been a more charming, sexy, infectious laugh put to film than the one Greta Garbo delivers in Ninotchka?                  "
The Roaring Twenties,1939,100,"                      Mr. Cagney, of the bull-calf brow... is as always a superb and a witty actor.                  "
The Spy in Black,1939,100,                      The acting is outstandingly good. Conrad Veidt is brilliant in the lead.                  
The Wizard of Oz,1939,98,                      The Wizard of Oz is an exquisite cinematographic symphony of delight and wonder for the spectator.  [Full review in Spanish]                   
Abe Lincoln in Illinois,1940,86,"                      If Young Mr. Lincoln, starring Henry Fonda, offers a smoother ride from first frame to last, Abe Lincoln in Illinois, released approximately 10 months later, offers a greater number of individual scenes that serve to energize and inspire.                  "
All This and Heaven Too,1940,83,"                      Unfortunately, there are too many words and not enough music.                  "
City for Conquest,1940,80,                      Picture carries plenty of dramatic punch.                  
The Devil Bat,1940,67,                      With the assistance of his trusty bats Beyyyla sets out to take revenge on his megalomaniac corporate employer. Need I say more?                  
Edison the Man,1940,80,"                      Spencer Tracy plays the pioneering scientist in this decent but routine MGM biopic, directed by Clarence Brown                  "
Go West,1940,89, 
The House of the Seven Gables,1940,80,"                      The results are a good, if far from great, little film.                  "
Kitty Foyle,1940,80,                      The story is magnificent. And the performance of Ginger Rogers is incomparable. [Full review in Spanish]                  
Knute Rockne All American,1940,88,"                      Knute Rockne: All American (1940) is the inspirational film biography of the famous and prominent Notre Dame football coach, Knute 'Rock' Rockne (Pat O'Brien). The immortalized coach is brought to life in this excellent, episodic film...                  "
The Letter,1940,100,"                      Like Jezebel, the relationship of the characters to the setting and the people who serve them... is complicated - in problematic ways but in challenging, subversive ways too.                  "
Pinocchio,1940,100,"                      It’s difficult to say what ""Pinocchio"" will mean to today’s jaded kids, but adults may well find much of it disturbing.                  "
Pride and Prejudice,1940,100,"                      The first big-screen adaptation of Jane Austen's classic novel is an unmitigated success, with a terrific cast ably handling the author's assemblage of engaging characters.                  "
The Thief of Bagdad,1940,100,"                      The Thief of Bagdad is a picture that we highly recommend for all ages and all races. We go further and say it should be the duty of every adult to take the children to see this, in my opinion, the greatest of all fantasy.                  "
The Big Store,1941,67, 
Citizen Kane,1941,99,                      A monumental film in cinema history.                  
Dr Jekyll and Mr Hyde,1941,58,"                      Essentially a prestige MGM monster movie, but the final product feels almost too polished and too afraid is its own genre to be any fun                  "
High Sierra,1941,92,"                      a pivotal crime film that took the basic components of the gangster film and reimagined them through a more romanticized, emotional lens                  "
Shadow of the Thin Man,1941,89,"                      Shadow of the Thin Man reminds us that, despite six films in the Thin Man series, it’s the consistency and enduring quality of these elements that kept contemporary audiences coming back for more.                  "
Suspicion,1941,97,                      The Master of Suspense definitely knows how to pick a winning project; delusion and coincidence turn out to be incredibly powerful tools in his hands.                  
Across the Pacific,1942,80,"                      I don't know if it can be said exactly that 'Across the Pacific' is an enjoyable John Huston movie, because in my opinion it is a bit regular and predictable with its spy adventure starring Humphrey Bogart. [Full review in Spanish]                  "
Captains of the Clouds,1942,100,"                      The movie's complete bosh, but the Technicolor lensing is impressive and Cagney is in his element as a brash brawler.                  "
Casablanca,1942,99,"                      Anyone who has seen the classic film, knows Bogart and Bergman had undeniable chemistry, which is part of what makes the movie as great as it is.                  "
For Me and My Gal,1942,100,"                      (The musical numbers) may be smaller scale than (Berkeley's) greatest works, but there's a heat and a passion to them that is hard to ignore.                  "
Kings Row,1942,100,"                      In spite of overlength, [Kings Row] has a nice apportionment of dramatic qualities.                  "
Mrs Miniver,1942,94,"                      Greer Garson invests Mrs. Miniver with an extraordinary quality of grace and good manners... The whole film, indeed, is executed with a high degree of tact, often with a moving sincerity.                   "
Now Voyager,1942,91,                      Davis gives a captivating career-high turn as Charlotte Vale...                   
Air Force,1943,82,"                      I cannot be sure how I feel about Air Force. It is loud, loose, sincere, violently masculine, and at times quite exciting.                  "
Cabin in the Sky,1943,81,"                      As a whole it is excellent entertainment, and has proven to be a fine vehicle for the talents and versatility of the notable cast.                  "
Destination Tokyo,1943,80,                      The cast is unbeatable. [Full review in Spanish]                  
Heaven Can Wait,1943,88,                      ... This comedy is quite audacious in its liberal idea of what virtue looks like.                   
The Human Comedy,1943,83,"                      The paradox of The Human Comedy lies in the fact that, with a systematic, exhaustive degree of precision, propaganda reaches the level of a sort of poetry as each lesson is understood separately and carefully set apart as its own sermon.                  "
Lassie Come Home,1943,94,                      This was understandably inspiring to wartime audiences and actually still holds up as a heartwarming story with a very decent cast.                  
The Outlaw,1943,71,                      One of the most erotic films ever made and one of the most sensational scripts ever filmed by Hollywood.                  
Phantom Lady,1944,89,                      ...compelling subject matter that's employed to somewhat erratic yet mostly rewarding effect...                  
Phantom of the Opera,1943,76,"                      The cinematography remains gorgeous to this day, and the sets are pretty. It is a picture of opulence. On that front, the film remains a success                  "
Day of Wrath,1943,100,                      Depressing though the theme of the film is. it has a weird fascination all its own.                  
The Canterville Ghost,1944,86,"                      Oscar Wilde's story, upon being modernized, has become more likeable. [Full review in Spanish]                  "
House of Frankenstein,1944,55,"                      Calling all monsters! Universal trots most of them out for this sequel to ""Frankenstein Meets the Wolf Man."" And, the results were slightly better than the 1943 effort. Boris Karloff plays a mad scientist bent on revenge.                  "
Meet Me in St Louis,1944,100,"                      If you were born and brought up in St. Louis, and aware from earliest childhood of The Fair... then the picture will seem even more like watching the youth of your parents and aunts and uncles, and it is all just as they told you.                  "
Mr Skeffington,1944,57,"                      Bette Davis does an admirable job, as does Claude Rains. [Full review in Spanish]                  "
To Have and Have Not,1944,97,"                      Bogie and Bacall make an engaging onscreen duo, delivering their lines with just the right amount of cynicism and coyness.                  "
Anchors Aweigh,1945,57,                      Pretty discouraging... except some excellent dancing by the reliable Gene Kelly.                  
Back to Bataan,1945,80,                      Back To Bataan has more excitement per reel than anything you've come across in some time and explodes the theory that war pictures are necessarily dated.                  
The Clock,1945,100,"                      A musical in spirit, if not execution. Judy Garland doesn’t sing, but she might as well.                   "
Children of Paradise,1945,98,"                      It became the nation's first celluloid triumph after liberation, even if initially released to some territories in a substantially cut form.                  "
House of Dracula,1945,56,                      Lively and entertaining.                  
Isle of the Dead,1945,90,                      It doesn’t go all-out horror and its focus on suspense sometimes misses the mark. But ultimately it succeeds in being a compelling horror thriller with a fun Boris Karloff performance at its center.                  
Mildred Pierce,1945,87,                       A true classic that still packs a hefty punch today.                  
They Were Expendable,1945,91,                      The human element triumphs in almost every foot of They Were Expendable.                  
Without Love,1945,83,                      Without Love may not be as memorable as their other work but being able to watch Tracy and Hepburn is worth a viewing.                  
Beauty and the Beast,1946,95,"                      The characters are familiar, and the story is typical, but unless you have seen Cocteau's 1946 version of the story, you really haven't seen the magic and wonder of a fairy tale on the screen                  "
Cluny Brown,1946,94,"                      Lubitsch's direction -- always, at its best, so shrewd about protocol -- makes the film more amusing than there was any other reason to expect; and Richard Haydn's performance as a prissily bullying, mother-bound druggist is very nice caricature.                  "
The Kid from Brooklyn,1946,60,                      The Kid From Brooklyn keeps stalling the plot to fit in another of the usual Goldwyn musical-comedy elements                  
The Killers,1946,100,"                      The movie darts around in time, constantly surprising and adding more depth to the character of The Swede. It's a psychological exploration of a man who was so worn down by life that he merely gave up.                  "
Stairway to Heaven,1946,97,"                      Though British cinema was predominantly realist in nature, few films by the Archers are more intimately fantastical than A Matter of Life and Death.                  "
Night and Day,1946,67,                      To demur that it let a few false notes get into Porter's life story is merely querulousness that will never enter the heads or the reactions of the multitudes who will enjoy it.                  
Paisan,1946,100,"                      Hollywood still has to grow up.... We've been too safe, too smug, too secure. European films reflect the suffering, the stark realism, the appreciation of human values that two wars in a generation have brought.                  "
The Postman Always Rings Twice,1946,89,"                      You sympathize with this unfortunate couple -- although they're murderers. That's why The Postman is a greater picture than Mr. Cain's previous hit, Double Indemnity.                  "
Terror by Night,1946,75,                      A fun entry in the Basil Rathbone-Nigel Bruce series.                  
The Bachelor and the Bobby Soxer,1947,78,                      It's one of the happiest of the season's comedies and as appropriate to August relaxation as a mint julep and a porch swing.                  
Body and Soul,1947,92,"                      Despite boasting a remarkable performance from John Garfield, I find the narrative to be a bit mechanical and lacks punching force like boxing film noir. [Full review in Spanish]                  "
Born to Kill,1947,83,"                      One of the most acerbic of all films noir, boasting essentially no redeemable characters (or a wealth of deliciously evil villains) while also being utterly enthralling.                  "
Crossfire,1947,87,                      Crossfire daringly address[es] anti-Semitism...                  
Dark Passage,1947,91,"                      “Dark Passage” sometimes gets lost in the conversations about Bogart and Bacall’s collaborations, but it’s a clever noir that does several things to set itself apart.                  "
A Double Life,1947,78,"                      Though it will not, I fancy, change the course of cinema history it turns out to be intelligently constructed and executed.                   "
Germany Year Zero,1948,96,                      Utterly pessimistic in every regard.                  
Good News,1947,100,"                      Here, despite the presence of rather over-age students June Allyson and Peter Lawford, Walters injects real verve and genuine joie de vivre into such numbers as Billion Dollar Baby and My Blue Heaven. A real treat for fans of musicals.                  "
It Happened in Brooklyn,1947,83,"                      The film's most interesting angle: Sinatra's bloom into a carefree, light-comedy personality.                  "
The Damned,1947,100,"                      The characters are well drawn, notably M. Paul Bernard as the collaborationist, and there is a magnificent bit of acting by Dalio, which is well worth a hearing.                  "
